IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
2002360;Arbre;Jardin;BOIS DE VINCENNES;12-12;ILE DE BERCY / LAC DAUMESNIL;A0280105001;Plaqueminier;Diospyros;virginiana;;175;15;Adulte;OUI;48.831382896432316, 2.4114313612965206
114166;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 08 - 34 à 44;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000210027;Platane;Platanus;x hispanica;;450;24;Mature;OUI;48.87313400143685, 2.286795531543091
2009036;Arbre;Jardin;BOIS DE BOULOGNE;16-61;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;000201001;Saule;Salix;babylonica;;285;10;Mature;OUI;48.864810413817175, 2.2337060200218857
2041444;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280106001;Platane;Platanus;x hispanica;;400;32;Mature;OUI;48.83240348430059, 2.411461728661542
113353;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0311D1001;Sequoia;Sequoia;sempervirens;;405;25;Mature;OUI;48.82202510003852, 2.3362770386072533
2041446;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280106004;Platane;Platanus;x hispanica;;340;24;Mature;OUI;48.83209713341988, 2.4112534069008857
136794;Arbre;Jardin;PARIS 16E ARRDT;16-40;JARDIN DU RANELAGH;00040084;Pterocarya;Pterocarya;fraxinifolia;;465;28;Mature;OUI;48.860033381498106, 2.2691346195636157
2002395;Arbre;Jardin;BOIS DE BOULOGNE;16-16;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;000501001;Pin;Pinus;nigra;;353;27;Adulte;OUI;48.86396626373124, 2.2513507585872556
2002376;Arbre;Jardin;BOIS DE VINCENNES;12-25;LAC DES MINIMES - ROUTE RONDE DES MINIMES;12-25;Chêne;Quercus;robur;;435;27;Mature;OUI;48.834174027849976, 2.4613206192039714
2041450;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280106009;Platane;Platanus;x hispanica;;335;40;Mature;OUI;48.832220686136765, 2.410568225713125
158456;Arbre;CIMETIERE;PARIS 20E ARRDT;20-13;CIMETIERE DU PERE LACHAISE / DIV 78;D00000078003;Arbre aux quarante écus;Ginkgo;biloba;;180;16;Adulte;OUI;48.86385698595502, 2.3966371602084346
123071;Arbre;Jardin;PARIS 17E ARRDT;;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;000101005;Metaséquoia;Metasequoia;glyptostroboides;;251;19;Mature;OUI;48.89393781179237, 2.3244386679046904
2002346;Arbre;Jardin;BOIS DE BOULOGNE;ORANGERIE;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5081801069;Platane;Platanus;x hispanica;;503;40;Mature;OUI;48.869226057112144, 2.2460077731680865
136321;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040037;Tulipier;Liriodendron;tulipifera;;211;22;Adulte;OUI;48.84650062055826, 2.252267173821028
136336;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040052;Magnolia;Magnolia;grandiflora;;145;10;Adulte;OUI;48.84748766279466, 2.2525338791119314
